Run 1, Time 1,Run 2, Time 2,Run 3, Time 3,Run 4, Time 4,Run 5, Time 5,Run 6, Time 6,Run 7, Time 7,Run 8, Time 8,Run 9, Time 9,Run 10, Time 10,Run 11, Time 11,Run 12, Time 12,Run 13, Time 13,Run 14, Time 14,Run 15, Time 15,Run 16, Time 16,Run 17, Time 17,Run 18, Time 18,Run 19, Time 19,Run 20, Time 20,Run 21, Time 21,Run 22, Time 22,Run 23, Time 23,Run 24, Time 24,Run 25, Time 25,Run 26, Time 26,Run 27, Time 27,Run 28, Time 28,Run 29, Time 29,Run 30, Time 30,Run 31, Time 31,Run 32, Time 32,Run 33, Time 33,Run 34, Time 34,Run 35, Time 35,Run 36, Time 36,Run 37, Time 37,Run 38, Time 38,Run 39, Time 39,Run 40, Time 40,Run 41, Time 41,Run 42, Time 42,Run 43, Time 43,Run 44, Time 44,Run 45, Time 45,Run 46, Time 46,Run 47, Time 47,Run 48, Time 48,Run 49, Time 49,Run 50, Time 50,Run 51, Time 51,Run 52, Time 52,Run 53, Time 53,Run 54, Time 54,Run 55, Time 55,Run 56, Time 56,Run 57, Time 57,Run 58, Time 58,Run 59, Time 59,Run 60, Time 60,Run 61, Time 61,Run 62, Time 62,Run 63, Time 63,Run 64, Time 64,Run 65, Time 65,Run 66, Time 66,Run 67, Time 67,Run 68, Time 68,Run 69, Time 69,Run 70, Time 70,Run 71, Time 71,Run 72, Time 72,Run 73, Time 73,Run 74, Time 74,Run 75, Time 75,Run 76, Time 76,Run 77, Time 77,Run 78, Time 78,Run 79, Time 79,Run 80, Time 80,Run 81, Time 81,Run 82, Time 82,Run 83, Time 83,Run 84, Time 84,Run 85, Time 85,Run 86, Time 86,Run 87, Time 87,Run 88, Time 88,Run 89, Time 89,Run 90, Time 90,Run 91, Time 91,Run 92, Time 92,Run 93, Time 93,Run 94, Time 94,Run 95, Time 95,Run 96, Time 96,Run 97, Time 97,Run 98, Time 98,Run 99, Time 99,Run 100, Time 100
Mean time:,2.05064E-05,Mean value:,-303.707,Median value:,-268.385,Range:,5861.72,Standard Deviation:,1131.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First De Jong Function tests:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data with input size = 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704657,0.00000078,769815,0.000000744,851632,0.00000072,839784,0.000000708,306889,0.000000672,976798,0.000000648,834058,0.000000684,885448,0.000000636,782759,0.000000612,1055310,0.000000648,872820,0.000000672,947756,0.000000684,718172,0.00000066,964727,0.000000649,690285,0.000000648,638023,0.000000636,1057660,0.00000066,882500,0.000000648,1305490,0.000000684,1150730,0.000000636,742502,0.000000684,682080,0.000000624,641071,0.00000066,1473460,0.000000648,765655,0.000000684,821832,0.00000066,651919,0.000000636,1236940,0.000000636,508357,0.00000066,942048,0.000000648,734256,0.000000636,1068700,0.000000636,717674,0.000000636,966388,0.000000684,1065260,0.000000684,825634,0.000000876,911220,0.000000708,608277,0.000000696,1140170,0.000000684,753854,0.000000708,999247,0.000000672,813043,0.000000672,682009,0.000000648,1257660,0.00000066,997438,0.000000672,691301,0.000000696,859719,0.000000672,381599,0.000000648,1291100,0.000000708,767244,0.000000672,783770,0.000000648,1081600,0.000000648,575310,0.000000648,829158,0.000000648,996075,0.00000066,1298640,0.000000708,960052,0.000000684,677631,0.000000684,799520,0.00000066,1268850,0.000000672,883357,0.000000684,786955,0.000000636,517214,0.000000648,959643,0.00000066,1039260,0.00000066,991204,0.000023784,1226810,0.000000744,1223130,0.000000696,1044200,0.00000066,758641,0.00000066,941625,0.00000066,228075,0.00000066,525802,0.000000684,806173,0.000000624,591023,0.000000636,651470,0.000000612,900565,0.00000066,771211,0.000000636,1518560,0.000000648,805203,0.000000636,971253,0.000000624,738749,0.000000648,532509,0.000000624,901342,0.000000636,1043770,0.0000006,777223,0.000000636,713841,0.000000708,899163,0.000000648,837793,0.000000672,495325,0.00000066,613566,0.000000684,661496,0.000000636,1162910,0.000000624,979027,0.000000648,989170,0.000000672,637349,0.000000672,935425,0.000000648,1193990,0.000000636,462707,0.000000672,693905,0.00000066
Mean time:,8.9593E-07,Mean value:,859142,Median value:,838788,Range:,1746630,Standard Deviation:,237719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data with input size = 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1414620,0.000001104,1939180,0.000001068,2082510,0.000001056,1634710,0.000001044,1697560,0.000001032,1878060,0.000001092,1655230,0.000001032,2192600,0.000001032,2413390,0.00000102,2017490,0.000001032,2167590,0.00000102,1739850,0.00000102,1856670,0.000001032,1879000,0.000001056,1871210,0.000001044,2007480,0.00000102,1892540,0.00000102,1945220,0.000001032,1151720,0.000001032,1449860,0.000001032,1536860,0.000001008,1543800,0.00000102,1011180,0.000001008,1631450,0.000000996,1200110,0.00000102,1531670,0.000000996,1854830,0.00000102,2115130,0.000000996,1860540,0.000001008,1537890,0.000000997,1476080,0.000000996,1605480,0.00000102,1939760,0.000001068,1883900,0.000001056,1748760,0.000001056,1800500,0.000001032,1489020,0.00000102,1445220,0.00000102,1780170,0.000000996,1994760,0.000001068,1428190,0.000001008,1485440,0.000000996,1692710,0.000001008,1814120,0.000000996,1427990,0.00000102,1499830,0.000001032,1381890,0.000001032,1752620,0.000001008,601743,0.000000984,1137330,0.000001056,2030440,0.000001044,1684020,0.00000102,2107480,0.000001032,2152360,0.000001008,1993750,0.000000996,2176770,0.000001056,2093480,0.00000102,1933180,0.000000996,2172200,0.000000996,1463320,0.000001033,2456130,0.00000102,1945180,0.000001008,1814500,0.000001044,2125780,0.000001032,1439640,0.000001008,2272090,0.000001032,1215720,0.000001068,2069040,0.000001032,1939340,0.00000102,1472370,0.000000996,1940480,0.000000972,1662820,0.000000984,2594500,0.000000972,2064550,0.000000972,1570120,0.000000996,1806830,0.000000973,1703850,0.000001032,1578190,0.000001056,1349030,0.000000996,1675870,0.000001008,1168980,0.000001008,1859620,0.000000984,2411860,0.000001008,1253200,0.000000972,2068450,0.000001008,1832120,0.000001044,2203030,0.000001032,1614570,0.000001021,1642300,0.00000102,2079850,0.00000102,1383370,0.000001032,2114140,0.000001032,1633030,0.000000996,2319660,0.000001032,2051370,0.000000996,1560570,0.000000984,1820620,0.000001032,2277230,0.000000996,1510870,0.000000996,2192970,0.000000996
Mean time:,1.91585E-06,Mean value:,2635110,Median value:,1814310,Range:,3196250,Standard Deviation:,925823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
