F1: -14.233,F2: 26.7647,F3: 3222.72,F4: 914.769,F5: -nan(ind),F6: -2.64393,F7: 14.5648,F8: 3.13865,F9: 63.1664,F10: -299.18,F11: 176.316,F12: -2.19912,F13: -0.462087,F14: 0.171984,F15: -0.147512,
F1: -13.6815,F2: 27.3756,F3: 6288.21,F4: 550.062,F5: -nan(ind),F6: -7.34974,F7: 12.726,F8: 12.6047,F9: 63.1109,F10: -300.816,F11: 176.859,F12: 0.566895,F13: 1.09571,F14: 1.09148,F15: -0.143103,
F1: -12.0015,F2: 26.9342,F3: 7658.57,F4: 326.918,F5: -nan(ind),F6: -7.39393,F7: 2.4781,F8: 28.5886,F9: 50.7502,F10: -282.625,F11: 183.722,F12: 2.59269,F13: -0.350877,F14: 0.313099,F15: -0.138019,
F1: -16.1671,F2: 39.193,F3: 20063.5,F4: 387.389,F5: -nan(ind),F6: -3.7973,F7: 2.01565,F8: 23.5927,F9: 69.2282,F10: -308.475,F11: 183.006,F12: 2.71154,F13: -0.3663,F14: -1.66129,F15: -0.154433,
F1: -5.11291,F2: 6.94125,F3: 1769.27,F4: -137.135,F5: -nan(ind),F6: -3.40145,F7: 9.82204,F8: 34.3652,F9: 37.0035,F10: -260.49,F11: 180.547,F12: -0.728369,F13: -0.0704048,F14: 5.11947,F15: -0.113482,
F1: -11.0688,F2: 23.6039,F3: 12328,F4: 793.152,F5: -nan(ind),F6: -4.47696,F7: 12.616,F8: 20.8303,F9: 60.8009,F10: -285.084,F11: 179.436,F12: 1.62427,F13: 0.298632,F14: -0.315989,F15: -0.133182,
F1: -17.1028,F2: 40.6534,F3: 15397,F4: 505.886,F5: -nan(ind),F6: -4.49668,F7: 12.6909,F8: 16.6915,F9: 69.9654,F10: -308.857,F11: 183.806,F12: -1.70258,F13: -0.802815,F14: -0.382164,F15: -0.155454,
F1: -14.9094,F2: 34.238,F3: 13372.1,F4: 868.58,F5: -nan(ind),F6: -5.84707,F7: 9.36164,F8: 24.6144,F9: 65.4061,F10: -299.735,F11: 181.673,F12: 0.279698,F13: -0.652992,F14: -0.567604,F15: -0.156965,
F1: -14.6466,F2: 31.5043,F3: 7543.23,F4: 837.392,F5: -nan(ind),F6: -7.30514,F7: 11.1937,F8: 13.1976,F9: 65.3188,F10: -297.28,F11: 179.862,F12: -1.55605,F13: -1.33541,F14: -0.689734,F15: -0.148472,
F1: -16.4932,F2: 37.9381,F3: 16099.3,F4: 874.934,F5: -nan(ind),F6: -6.56348,F7: 12.4809,F8: 25.6718,F9: 70.0389,F10: -307.262,F11: 185.01,F12: -0.872178,F13: -0.3777,F14: -1.21317,F15: -0.159023,
